symbol,currency,exchange_timezone,exchange,mic_code,type,datetime,open_value,high_value,low_value,close_value,volume
META,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-30,403.59,406.36,399.57,400.06,18614700
META,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-29,394.99,402.93,393.1,401.02,18742400
META,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-26,394.35,396.79,391.59,394.14,13163700
META,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-25,390.17,395.49,385.66,393.18,15091100
META,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-24,390.0,396.15,387.81,390.7,15698500
META,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-23,384.62,388.38,382.08,385.2,15506100
META,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-22,387.95,390.35,381.16,381.78,17680500
META,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-19,379.0,384.36,377.97,383.45,21470100
META,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-18,371.49,376.85,370.95,376.13,16354300
META,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-17,366.3,368.54,358.61,368.37,12724800
META,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-16,373.65,375.61,367.23,367.46,15306900
META,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-12,370.16,377.06,369.54,374.49,19295700
META,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-11,372.13,372.78,362.93,369.67,17205400
META,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-10,360.17,372.94,359.08,370.47,22117200
META,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-09,356.4,360.64,355.36,357.43,13463900
META,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-08,354.7,358.98,352.05,358.66,13890200
META,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-05,346.99,353.5,346.26,351.95,13920700
META,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-04,344.5,348.15,343.4,347.12,12099900
META,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-03,344.98,347.95,343.18,344.47,15451100
META,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-02,351.32,353.16,340.01,346.29,19042200
GOOG,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-26,151.12,153.2,151.03,151.7,19263548
GOOG,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-25,150.95,151.456,148.8,151.15,15114700
GOOG,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-22,150.24,152.56,150.09,151.77,19226300
GOOG,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-21,150.32,151.305,148.01,148.74,19843900
GOOG,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-20,148.79,149.76,147.665,149.68,17730000
GOOG,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-19,148.98,149.62,147.01,147.92,17748400
GOOG,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-18,149.37,152.93,148.14,148.48,47676700
GOOG,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-15,143.41,144.34,141.13,142.17,41025900
GOOG,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-14,142.3,144.73,141.485,144.34,36117900
GOOG,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-13,140.06,142.19,140.01,140.77,19637000
GOOG,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-12,138.25,140.28,138.21,139.62,19019700
GOOG,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-11,137.07,139.98,137.07,138.94,22536400
GOOG,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-08,135.035,138.985,134.8,136.29,26472400
GOOG,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-07,133.89,135.82,132.66,135.24,24107300
GOOG,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-06,134.24,134.74,131.95,132.56,23175200
GOOG,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-05,132.74,134.02,131.55,133.78,28447600
GOOG,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-04,136.54,136.63,132.86,134.2,43571500
GOOG,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-01,139.61,140.0,137.975,138.08,28522000
GOOG,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-29,138.35,139.95,137.57,139.78,35485000
GOOG,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-28,139.1,139.28,136.64,137.43,30628700
GOOG,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-27,139.41,140.49,138.5,140.1,22364000
GOOG,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-26,143.45,143.84,138.74,138.75,33513000
GOOG,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-23,144.97,145.955,144.79,145.29,14519400
GOOG,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-22,146.12,146.2,144.01,145.32,23024700
GOOG,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-21,142.64,143.98,141.91,143.84,16499600
GOOG,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-20,140.94,143.329,140.8,142.2,18625600
GOOG,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-16,144.21,144.48,141.52,141.76,21849700
GOOG,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-15,144.46,144.76,141.88,143.94,26724300
GOOG,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-14,147.37,147.83,145.555,147.14,16651800
GOOG,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-13,146.07,148.04,145.11,146.37,18138500
GOOG,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-12,149.54,150.59,148.56,148.73,17236100
GOOG,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-09,147.95,150.695,147.43,150.22,21877700
GOOG,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-08,146.97,147.61,146.42,147.22,18241300
GOOG,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-07,146.12,147.0,145.21,146.68,21436100
GOOG,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-06,145.96,146.74,144.52,145.41,21517700
GOOG,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-05,144.04,146.67,143.91,144.93,29254400
GOOG,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-02,140.89,143.88,138.17,143.54,42116900
GOOG,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-01,143.69,144.62,142.26,142.71,25526900
GOOG,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-31,145.39,145.59,141.55,141.8,43908600
GOOG,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-30,154.01,155.04,152.775,153.05,26578900
GOOG,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-29,153.64,155.2,152.92,154.84,20909300
GOOG,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-26,152.87,154.11,152.8,153.79,19494500
GOOG,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-25,151.74,154.76,151.22,153.64,21495100
GOOG,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-24,150.29,151.57,149.84,150.35,19245000
GOOG,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-23,147.72,148.86,147.19,148.68,14113600
GOOG,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-22,148.71,150.015,147.58,147.71,21829200
GOOG,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-19,146.305,148.04,145.8,147.97,27170900
GOOG,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-18,143.44,145.585,143.35,144.99,18876800
GOOG,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-17,142.91,143.41,140.51,142.89,17884500
GOOG,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-16,143.43,145.84,143.056,144.08,19198900
GOOG,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-12,144.34,144.74,143.36,144.24,13995200
GOOG,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-11,144.895,146.66,142.215,143.67,17471100
GOOG,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-10,142.52,144.525,142.46,143.8,16641900
GOOG,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-09,140.06,142.8,139.79,142.56,19579700
GOOG,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-08,138.0,140.64,137.88,140.53,17645300
GOOG,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-05,138.352,138.81,136.85,137.39,15433200
GOOG,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-04,139.85,140.635,138.01,138.04,18253300
GOOG,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-03,138.6,141.09,138.43,140.36,18974300
GOOG,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-02,139.6,140.615,137.74,139.56,20071900
SPY,USD,America/New_York,NYSE,ARCX,ETF,2024-03-26,521.23,521.58,518.4,518.81,65217647
SPY,USD,America/New_York,NYSE,ARCX,ETF,2024-03-25,519.8,520.95,519.61,519.77,48512100
SPY,USD,America/New_York,NYSE,ARCX,ETF,2024-03-22,522.11,522.61,520.97,521.21,79023000
SPY,USD,America/New_York,NYSE,ARCX,ETF,2024-03-21,523.39,524.11,521.91,522.2,60256100
SPY,USD,America/New_York,NYSE,ARCX,ETF,2024-03-20,515.77,520.62,515.08,520.48,69594600
SPY,USD,America/New_York,NYSE,ARCX,ETF,2024-03-19,512.15,516.0,511.12,515.71,60755300
SPY,USD,America/New_York,NYSE,ARCX,ETF,2024-03-18,514.0,515.48,512.44,512.86,88893300
SPY,USD,America/New_York,NYSE,ARCX,ETF,2024-03-15,510.21,511.7,508.12,509.83,107585800
SPY,USD,America/New_York,NYSE,ARCX,ETF,2024-03-14,516.97,517.13,511.82,514.95,110171800
SPY,USD,America/New_York,NYSE,ARCX,ETF,2024-03-13,517.11,517.29,514.49,515.97,55104100
SPY,USD,America/New_York,NYSE,ARCX,ETF,2024-03-12,513.45,517.38,510.86,516.78,73114400
